preferred_field_name;category_1;percent_1;category_2;percent_2;category_3;percent_3;category_4;percent_4;category_5;percent_5
OPL_CBS_Crohocode;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
OPL_CBS_Label_croho;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
OPL_CBS_Label_rubriek;management algemeen, bedrijfskunde;5.76;NA;NA;NA;NA;NA;NA;NA;NA
l_iscedf2013rubriek;management algemeen, bedrijfskunde;5.86;NA;NA;NA;NA;NA;NA;NA;NA
wo;hbo;50.82;wo;49.18;NA;NA;NA;NA;NA;NA
iscedf2013richtingnl;0114;15.05;0413;10.01;0231;5.09;NA;NA;NA;NA
iscedf2013rubriek;041303;5.86;NA;NA;NA;NA;NA;NA;NA;NA
OPL_CBS_Richting_code;0114;15.07;0413;9.65;0231;5.14;NA;NA;NA;NA
OPL_CBS_Rubriek_code;041303;5.76;NA;NA;NA;NA;NA;NA;NA;NA
l_iscedf2013richtingnl;lerarenopleiding algemene en beroepsgerichte vakken;15.05;management bedrijfs- en personeelswetenschappen;10.01;vreemde talen;5.09;NA;NA;NA;NA
OPL_CBS_Label_richting;lerarenopleiding algemene en beroepsgerichte vakken;15.07;management bedrijfs- en personeelswetenschappen;9.65;vreemde talen;5.14;NA;NA;NA;NA
