preferred_field_name;raw_field_name;in_use;is_unique_column;is_primary_key
COM_Sellnr;SELLNR;TRUE;FALSE;FALSE
COM_Studentnummer;STUDENTNUMMER;TRUE;FALSE;FALSE
COM_Vunet_id;VUNETID;TRUE;FALSE;FALSE
COM_Geslacht;GESLACHT;TRUE;FALSE;FALSE
COM_Geboortedatum;GEBOORTEDATUM;TRUE;FALSE;FALSE
COM_Landcode;LANDCODE;TRUE;FALSE;FALSE
COM_Woonplaats;WOONPLAATS;TRUE;FALSE;FALSE
COM_Postcode;POSTCODE;TRUE;FALSE;FALSE
COM_Provincie;P;TRUE;FALSE;FALSE
COM_Soort;SOORT;TRUE;FALSE;FALSE
COM_Korte_Naam_Product;KORTE_NAAM_PRODUCT;TRUE;FALSE;FALSE
COM_Voorlichting_Product;VOORL_PRODUCT;TRUE;FALSE;FALSE
COM_Versiecode;VERSIECODE;TRUE;FALSE;FALSE
COM_Aanvraagdatum;AANVRAAGDATUM;TRUE;FALSE;FALSE
COM_Status;STATUS;TRUE;FALSE;FALSE
COM_Wervingsjaar;WERVINGSJAAR;TRUE;FALSE;FALSE
COM_Studiecode;STUDIECODE;TRUE;FALSE;FALSE
COM_Isat_Code;ISAT_CODE;TRUE;FALSE;FALSE
COM_Opleiding;OPLEIDING;TRUE;FALSE;FALSE
COM_Faculteit;FACULTEIT;TRUE;FALSE;FALSE
COM_Fase;FASE;TRUE;FALSE;FALSE
COM_Vooropleiding_Aks;VOOROPLEIDING_AKS;TRUE;FALSE;FALSE
COM_Vestigingsnummer_Brin;VESTIGINGSNUMMER_BRIN;TRUE;FALSE;FALSE
COM_Landscode_Internationale;CO;TRUE;FALSE;FALSE
COM_Verwacht_Startjaar;VERWACHT_STARTJAAR;TRUE;FALSE;FALSE
COM_Examenjaar;EXAMENJAAR;TRUE;FALSE;FALSE
COM_International_Werving;INTERNATIONAL_WERVING;TRUE;FALSE;FALSE
COM_International_Lead;INTERNATIONAL_LEAD;TRUE;FALSE;FALSE
COM_International_Student;INTERNATIONAL_STUDENT;TRUE;FALSE;FALSE
COM_Aangemeld;AANGEMELD;TRUE;FALSE;FALSE
COM_Ingeschreven;INGESCHREVEN;TRUE;FALSE;FALSE
COM_Afgewezen;AFGEWEZEN;TRUE;FALSE;FALSE
COM_Aantal;AANTAL;TRUE;FALSE;FALSE
