preferred_field_name;category_1;percent_1;category_2;percent_2;category_3;percent_3;category_4;percent_4;category_5;percent_5
DUO_Begin_inschrijving_datum;01.09.2022;50.12;01.09.2021;49.77;NA;NA;NA;NA;NA;NA
Bekostiging versie;VERSIE2024.DEFINITIEF;50.18;VERSIE2023.DEFINITIEF;49.82;NA;NA;NA;NA;NA;NA
Bekostigingscode;BEKOSTIGD;100;NA;NA;NA;NA;NA;NA;NA;NA
DUO_Bekostigingsindicatie;J;51.17;N;48.83;NA;NA;NA;NA;NA;NA
DUO_Bekostigingsniveau;LAAG;52.1;HOOG;40.46;TOP;7.44;NA;NA;NA;NA
DUO_Brinnummer;21PL;82.65;21PK;10.72;NA;NA;NA;NA;NA;NA
DUO_Code_bekostigingsstatus;pi;51.17;ng;12.42;nk;10.68;jl;8.12;NA;NA
DUO_Opleidingsnaam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
DUO_CROHO_code_Z08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Datum 1e aanlevering;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
DUO_Eerste_inschrijving;J;81.47;N;18.53;NA;NA;NA;NA;NA;NA
DUO_Einde_inschrijving_datum;31.08.2022;47.59;31.08.2023;45.59;NA;NA;NA;NA;NA;NA
DUO_Faculteit;BÈTA;31.2;SBE;16.58;RCH;11.18;FGB;10.44;FSW;7.26
Ind nat voorwrde SF;J;94.81;N;5.19;NA;NA;NA;NA;NA;NA
Indicatie acad zkh;N;92.52;J;6;NA;NA;NA;NA;NA;NA
Indicatie Ba Ma Ad;B;58.17;M;40.34;NA;NA;NA;NA;NA;NA
Indicatie GBA relat;J;95.9;NA;NA;NA;NA;NA;NA;NA;NA
Indicatie sector LG;N;80.03;J;18.49;NA;NA;NA;NA;NA;NA
Inschrijvingsvolgnr;5E+19;82.65;NA;NA;NA;NA;NA;NA;NA;NA
Inschrijvingsvorm;S;100;NA;NA;NA;NA;NA;NA;NA;NA
DUO_Onderwijsnummer;#;79.12;NA;NA;NA;NA;NA;NA;NA;NA
Opleiding onderdeel;NATUUR;24.38;GEZONDHEIDSZORG;17.96;GEDRAG_EN_MAATSCHAPPIJ;17.56;ECONOMIE;17.56;RECHT;10.23
DUO_Opleidingsfase;B;55.24;M;41.12;NA;NA;NA;NA;NA;NA
DUO_Opleidingsniveau;WO-BA;57.15;WO-MA;41.06;NA;NA;NA;NA;NA;NA
Recordsoort;BRD;100;NA;NA;NA;NA;NA;NA;NA;NA
Soort studierichting;Bachelor;44.29;Master;37.74;Premaster;11.31;Niet toegewezen;6.06;NA;NA
Studiericht. (oms.);Niet toegewezen;97.57;NA;NA;NA;NA;NA;NA;NA;NA
Studierichting;Niet toegewezen;97.57;NA;NA;NA;NA;NA;NA;NA;NA
DUO_Jaar_bestand;2024;50.18;2023;49.82;NA;NA;NA;NA;NA;NA
