preferred_field_name;min;max;q1;median;q3;mean;sd
DUO_Brinnummer;00DV03;31FR07;NA;NA;NA;NA;NA
DUO_Instelling;Aeres Hogeschool;Zuyd Hogeschool;NA;NA;NA;NA;NA
DUO_Vestigingsgemeente;'s-Gravenhage;Zwolle;NA;NA;NA;NA;NA
DUO_Jaar;2014;2035;2020,000000000000000;2025,0000000000000;2030,0000000000000;2025;6,2
DUO_Opleidingsvorm;deeltijd;voltijd;NA;NA;NA;NA;NA
DUO_Soort_ho;hbo;wo;NA;NA;NA;NA;NA
DUO_Type_ho;ad;ma;NA;NA;NA;NA;NA
DUO_Herkomst;EER;NL;NA;NA;NA;NA;NA
DUO_Status;prognose;realisatie;NA;NA;NA;NA;NA
DUO_Ingeschrevenen_domein_HO;0;42334;8,383500000000000;66,9090000000000;390,1380000000000;1009;3338,0
DUO_Instroom_RR;0;11861.821;2,639500000000000;26,7120000000000;140,3595000000000;315;954,0
DUO_Instroom_HO;-1.91456358541984;10278;0,984536841082900;11,0000000000000;82,8571505783491;198;659,0
DUO_Instroom_THO_NW;-0.592560374442996;10614;2,780293023668410;25,0000000000000;127,8447762163950;282;837,0
DUO_Tweedejaars_THO_NW;-0.59335700980489;9321;0,639645736603711;15,7810719928424;95,0275024441669;231;735,0
DUO_Hogerejaars_THO_NW;-2.10018770278543;25269.8896833745;0,709834133470451;18,0000000000000;152,5816094978020;497;1861,0
