preferred_field_name;type_of_variable;percentage_of_missing_values;count_of_valid_values;count_of_invalid_values;distinct_count
Global Code;character;0,00;249;0;1
Global Name;character;0,00;249;0;1
Region Code;character;0,40;248;1;6
BUI_VN_regio;character;0,40;248;1;6
Sub-region Code;character;0,40;248;1;18
BUI_VN_subregio;character;0,40;248;1;18
Intermediate Region Code;character;56,63;108;141;9
BUI_VN_tussenregio;character;56,63;108;141;9
BUI_VN_land;character;0,00;249;0;249
M49 Code;character;0,00;249;0;249
BUI_VN_landcode_ISO_alpha3;character;0,40;248;1;249
BUI_VN_minst_ontwikkelde_landen;character;81,12;47;202;2
Land Locked Developing Countries (LLDC);character;87,15;32;217;2
Small Island Developing States (SIDS);character;78,71;53;196;2
BUI_VN_ontwikkelingsland;character;0,40;248;1;3
