preferred_field_name;raw_field_name;in_use;is_unique_column;is_primary_key
Global Code;Global Code;TRUE;FALSE;FALSE
Global Name;Global Name;TRUE;FALSE;FALSE
Region Code;Region Code;TRUE;FALSE;FALSE
BUI_VN_regio;Region Name;TRUE;FALSE;FALSE
Sub-region Code;Sub-region Code;TRUE;FALSE;FALSE
BUI_VN_subregio;Sub-region Name;TRUE;FALSE;FALSE
Intermediate Region Code;Intermediate Region Code;TRUE;FALSE;FALSE
BUI_VN_tussenregio;Intermediate Region Name;TRUE;FALSE;FALSE
BUI_VN_land;Country or Area;TRUE;TRUE;FALSE
M49 Code;M49 Code;TRUE;TRUE;FALSE
BUI_VN_landcode_ISO_alpha3;ISO-alpha3 Code;TRUE;TRUE;FALSE
BUI_VN_minst_ontwikkelde_landen;Least Developed Countries (LDC);TRUE;FALSE;FALSE
Land Locked Developing Countries (LLDC);Land Locked Developing Countries (LLDC);TRUE;FALSE;FALSE
Small Island Developing States (SIDS);Small Island Developing States (SIDS);TRUE;FALSE;FALSE
BUI_VN_ontwikkelingsland;Developed / Developing Countries;TRUE;FALSE;FALSE
