column_name;value
BUI_VN_ontwikkelingsland;Developed
BUI_VN_ontwikkelingsland;Developing
Global Code;001
Global Name;World
Intermediate Region Code;005
Intermediate Region Code;011
Intermediate Region Code;013
Intermediate Region Code;014
Intermediate Region Code;017
Intermediate Region Code;018
Intermediate Region Code;029
Intermediate Region Code;830
BUI_VN_tussenregio;Caribbean
BUI_VN_tussenregio;Central America
BUI_VN_tussenregio;Channel Islands
BUI_VN_tussenregio;Eastern Africa
BUI_VN_tussenregio;Middle Africa
BUI_VN_tussenregio;South America
BUI_VN_tussenregio;Southern Africa
BUI_VN_tussenregio;Western Africa
Land Locked Developing Countries (LLDC);x
BUI_VN_minst_ontwikkelde_landen;x
Region Code;002
Region Code;009
Region Code;019
Region Code;142
Region Code;150
BUI_VN_regio;Africa
BUI_VN_regio;Americas
BUI_VN_regio;Asia
BUI_VN_regio;Europe
BUI_VN_regio;Oceania
Small Island Developing States (SIDS);x
Sub-region Code;015
Sub-region Code;021
Sub-region Code;030
Sub-region Code;034
Sub-region Code;035
Sub-region Code;039
Sub-region Code;053
Sub-region Code;054
Sub-region Code;057
Sub-region Code;061
Sub-region Code;143
Sub-region Code;145
Sub-region Code;151
Sub-region Code;154
Sub-region Code;155
Sub-region Code;202
Sub-region Code;419
BUI_VN_subregio;Australia and New Zealand
BUI_VN_subregio;Central Asia
BUI_VN_subregio;Eastern Asia
BUI_VN_subregio;Eastern Europe
BUI_VN_subregio;Latin America and the Caribbean
BUI_VN_subregio;Melanesia
BUI_VN_subregio;Micronesia
BUI_VN_subregio;Northern Africa
BUI_VN_subregio;Northern America
BUI_VN_subregio;Northern Europe
BUI_VN_subregio;Polynesia
BUI_VN_subregio;South-eastern Asia
BUI_VN_subregio;Southern Asia
BUI_VN_subregio;Southern Europe
BUI_VN_subregio;Sub-Saharan Africa
BUI_VN_subregio;Western Asia
BUI_VN_subregio;Western Europe
