Veldnaam;Veldnaam_export;In_gebruik;Veldtype;p_na;lower;upper;pattern;Uniek;Percentages;Distribution;Opmerkingen
NAE_ID;nummer;TRUE;numeric;0,000000000000000;12102370;12107958;[0-9]{4};TRUE;12102370: ( 0.11%) | 12102453: ( 0.11%) | 12103341: ( 0.11%) | 12103802: ( 0.11%) | 12103809: ( 0.11%) | 12103854: ( 0.11%) | 12103904: ( 0.11%) | 12103998: ( 0.11%) | 12104018: ( 0.11%) | 12104332: ( 0.11%) | Other: (98.88%);Q1 = 12105329.75  | median = 12105615.5  | Q3 =  12105906.25  | mean = 12105599  | stdev = 406;
NAE_universiteit;uni;TRUE;subset;0,000000000000000;NA;NA;[A-Z]{2};FALSE;VU: (100%);NA;
NAE_Faculteit;faculteit;TRUE;subset;0,000000000000000;NA;NA;NA;FALSE;school of business and economics: (24.67%) | faculteit der betawetenschappen: (20.31%) | faculteit der gedrags- en bewegingswetenschappen: (16.29%) | faculteit der sociale wetenschappen: (13.17%) | faculteit der rechtsgeleerdheid: (12.17%) | faculteit der geneeskunde: ( 6.81%) | faculteit der geesteswetenschappen: ( 3.12%) | faculteit religie en theologie: ( 2.57%) | acta: ( 0.89%);NA;
NAE_Croho;croho;TRUE;character;0,000000000000000;NA;NA;NA;FALSE;M Business Administration: ( 7.6%) | M Rechtsgeleerdheid: ( 5.4%) | M Geneeskunde: ( 5.2%) | M Health Sciences: ( 4.7%) | M Psychologie: ( 4.4%) | M Econometrics and Operations Research: ( 3.8%) | M Finance: ( 3.8%) | M Beleid, Communicatie en Organisatie: ( 3.5%) | M Bestuurskunde: ( 2.3%) | M Environment and Resource Management: ( 2.2%) | Other: (57.1%);NA;
NAE_Hoop;hoop;TRUE;subset;0,000000000000000;NA;NA;NA;FALSE;Economie: (24.4%) | Gedrag en maatschappij: (23.2%) | Natuur: (17.4%) | Gezondheidszorg: (17.0%) | Recht: (10.0%) | Taal en cultuur: ( 6.6%) | Onderwijs: ( 1.3%);NA;
NAE_Taal;@_lang;TRUE;subset;76,562500000000000;NA;NA;NA;FALSE;en: (100%);NA;
NAE_Mobiel;@_mobile;TRUE;subset;0,000000000000000;NA;NA;NA;FALSE;Ja: (58%) | Nee: (42%);NA;
NAE_Geslacht;geslacht;TRUE;subset;0,000000000000000;NA;NA;NA;FALSE;Vrouw: (61%) | Man: (39%);NA;
NAE_Leeftijd;leeftijd;TRUE;numeric;0,558035714285714;22;64;NA;FALSE;26: (21.5%) | 25: (18.2%) | 27: (15.1%) | 24: ( 9.6%) | 28: ( 7.7%) | 29: ( 7.6%) | 23: ( 3.9%) | 30: ( 3.3%) | 31: ( 3.0%) | 32: ( 2.0%) | Other: ( 8.0%);Q1 = 25  | median = 26  | Q3 =  28  | mean = 27.6  | stdev = 5;
NAE_Leeftijd_cat;leeftijd_kl;TRUE;subset;0,000000000000000;NA;NA;NA;FALSE;26 jaar: (21.54%) | 25 jaar: (18.19%) | > 29 jaar: (15.62%) | 27 jaar: (15.07%) | 24 jaar: ( 9.60%) | 28 jaar: ( 7.70%) | 29 jaar: ( 7.59%) | <24 jaar: ( 4.13%) | Onbekend: ( 0.56%);NA;
NAE_Nationaliteit;v03d;TRUE;character;0,000000000000000;NA;NA;NA;FALSE;Nederlands: (75.11%) | Onbekend: ( 4.69%) | Duits: ( 2.68%) | Italiaans: ( 1.79%) | Chinees: ( 1.45%) | Grieks: ( 1.34%) | Indiaas: ( 0.78%) | Indonesisch: ( 0.78%) | Spaans: ( 0.78%) | Amerikaans: ( 0.67%) | Other: ( 9.93%);NA;
NAE_Demografie;v03d_KL;TRUE;subset;0,000000000000000;NA;NA;NA;FALSE;Nederland: (75.11%) | Europese Economische ruimte (EER): (12.17%) | Onbekend: ( 4.69%) | Azië: ( 4.35%) | Europa - niet EER: ( 1.45%) | Noord-Amerika: ( 1.23%) | Afrika: ( 0.56%) | Zuid-Amerika: ( 0.33%) | Oceanië: ( 0.11%);NA;
v01a;v01a;TRUE;character;0,000000000000000;NA;NA;NA;FALSE;Nederland: (88.73%) | Onbekend: ( 2.23%) | Duitsland: ( 1.34%) | België: ( 0.89%) | Verenigd Koninkrijk: ( 0.67%) | Italië: ( 0.56%) | Spanje: ( 0.56%) | Verenigde Staten: ( 0.56%) | Ierland: ( 0.45%) | Canada: ( 0.33%) | Other: ( 3.68%);NA;
v01b;v01b;TRUE;character;0,000000000000000;NA;NA;NA;FALSE;Doorverwijzing: (11.3%) | Onbekend: ( 5.1%) | 1062: ( 1.9%) | 1072: ( 1.2%) | 1183: ( 1.2%) | 1054: ( 1.1%) | 1078: ( 1.1%) | 1018: ( 1.0%) | 1068: ( 1.0%) | 1079: ( 1.0%) | Other: (74.0%);Q1 = 1076  | median = 1619  | Q3 =  2914  | mean = 2360  | stdev = 1852;
v01c;v01c;TRUE;character;90,959821428571431;NA;NA;NA;FALSE;brussels: ( 0.33%) | dublin: ( 0.33%) | athens: ( 0.22%) | barcelona: ( 0.22%) | brussel: ( 0.22%) | copenhagen: ( 0.22%) | jakarta: ( 0.22%) | ljubljana: ( 0.22%) | london: ( 0.22%) | Other: (97.77%);NA;
v01_gemc;v01_gemc;TRUE;character;0,000000000000000;NA;NA;NA;FALSE;Amsterdam: (31.1%) | Doorverwijzing: (11.3%) | Onbekend: ( 5.1%) | Utrecht: ( 4.9%) | `s-Gravenhage: ( 4.1%) | Haarlem: ( 3.0%) | Rotterdam: ( 2.7%) | Leiden: ( 2.3%) | Almere: ( 2.2%) | Amstelveen: ( 2.2%) | Other: (30.9%);NA;
v01_prov;v01_prov;TRUE;subset;0,111607142857143;NA;NA;NA;FALSE;Noord-Holland: (48.44%) | Zuid-Holland: (15.18%) | Buitenland: ( 9.04%) | Utrecht: ( 7.70%) | Onbekend: ( 7.37%) | Gelderland: ( 3.35%) | Flevoland: ( 3.12%) | Noord-Brabant: ( 2.79%) | Overijssel: ( 1.34%) | Groningen: ( 0.45%) | Other: ( 1.23%);NA;
v02a;v02a;TRUE;character;0,000000000000000;NA;NA;NA;FALSE;Nederland: (73.21%) | Duitsland: ( 2.23%) | Onbekend: ( 2.23%) | Italië: ( 2.01%) | China: ( 1.67%) | Griekenland: ( 1.67%) | Verenigde Staten: ( 1.34%) | India: ( 0.89%) | Rusland: ( 0.89%) | Indonesië: ( 0.78%) | Other: (13.06%);NA;
v02b;v02b;TRUE;character;0,000000000000000;NA;NA;NA;FALSE;Doorverwijzing: (26.79%) | Onbekend: ( 5.69%) | 2134: ( 0.89%) | 2135: ( 0.67%) | 1448: ( 0.56%) | 1111: ( 0.45%) | 1325: ( 0.45%) | 1411: ( 0.45%) | 1628: ( 0.45%) | 1851: ( 0.45%) | Other: (63.17%);Q1 = 1531  | median = 2312  | Q3 =  4486  | mean = 3353  | stdev = 2334;
v02c;v02c;TRUE;character;75,446428571428569;NA;NA;NA;FALSE;athens: ( 0.67%) | jakarta: ( 0.56%) | paramaribo: ( 0.45%) | beijing: ( 0.33%) | chennai: ( 0.33%) | moscow: ( 0.33%) | thessaloniki: ( 0.33%) | -: ( 0.22%) | barcelona: ( 0.22%) | Other: (96.54%);NA;
v02_gemc;v02_gemc;TRUE;character;0,000000000000000;NA;NA;NA;FALSE;Doorverwijzing: (26.8%) | Amsterdam: ( 5.7%) | Onbekend: ( 5.7%) | Haarlemmermeer: ( 3.0%) | Almere: ( 2.3%) | Haarlem: ( 2.1%) | `s-Gravenhage: ( 2.0%) | Gooise Meren: ( 1.6%) | Amstelveen: ( 1.3%) | Amersfoort: ( 1.2%) | Other: (48.2%);NA;
v02_prov;v02_prov;TRUE;subset;0,000000000000000;NA;NA;NA;FALSE;Noord-Holland: (28.9%) | Buitenland: (24.6%) | Zuid-Holland: (10.6%) | Onbekend: ( 7.9%) | Utrecht: ( 6.7%) | Gelderland: ( 5.9%) | Noord-Brabant: ( 4.2%) | Flevoland: ( 3.9%) | Overijssel: ( 1.9%) | Limburg: ( 1.8%) | Other: ( 3.6%);NA;
v03a;v03a;TRUE;subset;0,000000000000000;NA;NA;NA;FALSE;Nederland: (94.98%) | Onbekend: ( 2.23%) | België: ( 0.33%) | Denemarken: ( 0.33%) | Duitsland: ( 0.33%) | Italië: ( 0.33%) | Griekenland: ( 0.22%) | Spanje: ( 0.22%) | Zweden: ( 0.22%) | Afghanistan: ( 0.11%) | Other: ( 0.67%);NA;
v03b;v03b;TRUE;character;0,000000000000000;NA;NA;NA;FALSE;Onbekend: ( 9.9%) | Doorverwijzing: ( 5.0%) | 1183: ( 4.2%) | 1062: ( 2.0%) | 1097: ( 1.7%) | 1011: ( 1.2%) | 1055: ( 1.2%) | 1083: ( 1.2%) | 1091: ( 1.2%) | 1112: ( 1.2%) | Other: (71.0%);Q1 = 1073  | median = 1183  | Q3 =  2322  | mean = 2031  | stdev = 1626;
v03c;v03c;TRUE;character;97,209821428571431;NA;NA;NA;FALSE;berlin: ( 0.22%) | copenhagen: ( 0.22%) | afghanistan: ( 0.11%) | amiens: ( 0.11%) | bologna: ( 0.11%) | boston: ( 0.11%) | brussels: ( 0.11%) | christchurch: ( 0.11%) | elche: ( 0.11%) | Other: (98.77%);NA;
v03_gemc;v03_gemc;TRUE;character;0,000000000000000;NA;NA;NA;FALSE;Amsterdam: (36.6%) | Onbekend: ( 9.9%) | Amstelveen: ( 6.1%) | Doorverwijzing: ( 5.0%) | Utrecht: ( 4.4%) | `s-Gravenhage: ( 3.3%) | Haarlem: ( 2.6%) | Haarlemmermeer: ( 2.5%) | Almere: ( 2.3%) | Leiden: ( 2.2%) | Other: (25.0%);NA;
v03_prov;v03_prov;TRUE;subset;0,000000000000000;NA;NA;NA;FALSE;Noord-Holland: (58.04%) | Onbekend: (12.17%) | Zuid-Holland: (11.72%) | Utrecht: ( 6.47%) | Flevoland: ( 3.24%) | Buitenland: ( 2.79%) | Gelderland: ( 2.57%) | Noord-Brabant: ( 1.34%) | Overijssel: ( 0.78%) | Groningen: ( 0.33%) | Other: ( 0.56%);NA;
NAE_Gegevens_master_correct;v04;TRUE;subset;0,000000000000000;NA;NA;NA;FALSE;Ja: (96.8%) | Nee, maar wel een andere wo-masteropleiding: ( 3.2%);NA;
NAE_Gegevens_master_correct_NEE_andere_master_namelijk;v04a1;TRUE;character;96,763392857142861;NA;NA;NA;FALSE;mpa: ( 0.45%) | business analytics: ( 0.33%) | computational science: ( 0.33%) | culture, organization and management: ( 0.22%) | business analytics vu: ( 0.11%) | culture organization & management: ( 0.11%) | culture, organization & management: ( 0.11%) | culture, organization and management (de engelse versie): ( 0.11%) | culture, organiztion & management: ( 0.11%) | Other: (98.10%);NA;
NAE_Opleidingvorm;soort_opl;TRUE;subset;0,000000000000000;NA;NA;NA;FALSE;Voltijd: (94.53%) | Deeltijd: ( 4.80%) | Duaal: ( 0.67%);NA;
NAE_Vooropleiding_toegelaten_tot_master;vM04e;TRUE;subset;0,000000000000000;NA;NA;NA;FALSE;Wo-bacheloropleiding: (74.0%) | Pre-master / schakelprogramma: (17.2%) | Een ander soort opleiding: ( 5.2%) | Hbo-bacheloropleiding: ( 3.6%);NA;
