preferred_field_name;category_1;percent_1;category_2;percent_2;category_3;percent_3;category_4;percent_4;category_5;percent_5
MVR_Afnameduur;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
MVR_Herkomst;nl-NL;58.87;en-GB;40.67;NA;NA;NA;NA;NA;NA
Personal_information1_DisplayName;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Personal_information1_CallName;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
MVR_Opleidingscluster;Economics and Business Administration;36.05;Law and Public Administration;16.03;Life Sciences, Medicine and Health;14.13;Science and Technology;11.55;Humanities;9.15
MVR_Opleidingsnaam;International Business Administration;14.32;Artificial Intelligence;9.04;Bedrijfskunde;8.98;Rechtsgeleerdheid;7.45;Economie en Bedrijfseconomie;6.66
MVR_VUnetID;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
MVR_AI_Vooropleiding;VWO;49.91;Buitenlands_diploma;36.64;HBO_propedeuse;9.74;NA;NA;NA;NA
MVR_AI_Vooropleiding_HO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
MVR_AI_Keuzeprofiel_middelbare_school;nvt;35.48;Economie_Maatschappij;25.66;Natuur_Gezondheid;14.34;Overig;11.03;Natuur_Techniek;6.72
MVR_OBK_Vertrouwen_studiesuccess_eerste_jaar;81_100;70.13;61_80;24.94;NA;NA;NA;NA;NA;NA
MVR_Studiesituatie_Ouders_universiteit;J;61.08;N;36.78;NA;NA;NA;NA;NA;NA
MVR_Studiesituatie_Ouders_HBO;N;21.45;J;15.34;NA;NA;NA;NA;NA;NA
MVR_Middelbare_school_diploma;J;57.6;N;40.39;NA;NA;NA;NA;NA;NA
MVR_INT_Middelbare_overige_vakken_1_naam;Bedrijfseconomie;7.53;NA;NA;NA;NA;NA;NA;NA;NA
MVR_INT_Middelbare_overige_vakken_2_naam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
MVR_INT_Middelbare_overige_vakken_3_naam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
MVR_INT_Middelbare_overige_vakken_4_naam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
MVR_INT_Middelbare_overige_vakken_5_naam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
MVR_INT_Middelbare_overige_vakken_6_naam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
