preferred_field_name;type_of_variable;percentage_of_missing_values
MVR_Afnameduur;character;3,87
MVR_Herkomst;character;0,45
Personal_information1_DisplayName;character;0,51
Personal_information1_CallName;character;0,51
MVR_Academisch_jaar;numeric;0,45
MVR_Opleidingscluster;character;0,45
MVR_Opleidingsnaam;character;0,45
MVR_OpleidingsID;numeric;0,45
MVR_VUnetID;character;0,45
MVR_AI_Vooropleiding;character;1,88
MVR_AI_Vooropleiding_HO;character;89,43
MVR_AI_Keuzeprofiel_middelbare_school;character;1,88
MVR_AI_Top_3_studies_keuze_1;numeric;0,43
MVR_AI_Top_3_studies_keuze_2;numeric;2,29
MVR_AI_Top_3_studies_keuze_3;numeric;2,29
MVR_AI_Keuzezekerheid;numeric;2,29
MVR_AI_Keuzezekerheid_tijd;numeric;2,29
MVR_OBK_Vertrouwen_studiesuccess_eerste_jaar;character;2,29
MVR_Studiesituatie_Omgeving_hulp;numeric;2,14
MVR_Studiesituatie_Goede_werkplek;numeric;2,14
MVR_Studiesituatie_Zorgtaak_belemmering;numeric;2,14
MVR_Studiesituatie_Ondersteuning_nodig;numeric;2,15
MVR_Studiesituatie_Financien_belemmering;numeric;2,15
MVR_Studiesituatie_Ouders_universiteit;character;2,14
MVR_Studiesituatie_Ouders_HBO;character;63,21
MVR_Maatschappelijke_motivatie_Financieel;numeric;3,56
MVR_Maatschappelijke_motivatie_Impact;numeric;3,55
MVR_Maatschappelijke_motivatie_Dienst;numeric;3,55
MVR_Maatschappelijke_motivatie_Normen_Waarden;numeric;3,55
MVR_Maatschappelijke_motivatie_Overtuiging;numeric;3,55
MVR_Maatschappelijke_motivatie_gemiddelde;numeric;3,87
MVR_Maatschappelijke_werking_CE1;numeric;3,58
MVR_Maatschappelijke_werking_CE2;numeric;3,56
MVR_Maatschappelijke_werking_CE3;numeric;3,56
MVR_Maatschappelijke_werking_CE4;numeric;3,56
MVR_Maatschappelijke_werking_CE5;numeric;3,56
MVR_Maatschappelijke_gemiddelde;numeric;3,87
MVR_Middelbare_school_diploma;character;2,01
MVR_INT_Middelbare_Aardrijkskunde;numeric;42,43
MVR_INT_Middelbare_Biologie;numeric;42,43
MVR_INT_Middelbare_Duits;numeric;42,43
MVR_INT_Middelbare_Economie;numeric;42,43
MVR_INT_Middelbare_Engels;numeric;42,43
MVR_INT_Middelbare_Frans;numeric;42,43
MVR_INT_Middelbare_Geschiedenis;numeric;42,46
MVR_INT_Middelbare_Grieks;numeric;42,46
MVR_INT_Middelbare_Latijns;numeric;42,46
MVR_INT_Middelbare_Natuurkunde;numeric;42,46
MVR_INT_Middelbare_Nederlands;numeric;42,46
MVR_INT_Middelbare_Scheikunde;numeric;42,46
MVR_INT_Middelbare_Wiskunde_A;numeric;42,48
MVR_INT_Middelbare_Wiskunde_B;numeric;42,48
MVR_INT_Middelbare_Wiskunde_C;numeric;42,48
MVR_INT_Middelbare_Wiskunde_D;numeric;42,48
MVR_INT_Middelbare_Filosofie;numeric;42,48
MVR_INT_Middelbare_Maatschappijleer;numeric;42,48
MVR_INT_Middelbare_Lichamelijke_Ontwikkeling;numeric;42,48
MVR_INT_Middelbare_overige_vakken_aantal;numeric;42,51
MVR_INT_Middelbare_overige_vakken_1;numeric;65,25
MVR_INT_Middelbare_overige_vakken_1_naam;character;65,12
MVR_INT_Middelbare_overige_vakken_2;numeric;82,50
MVR_INT_Middelbare_overige_vakken_2_naam;character;82,40
MVR_INT_Middelbare_overige_vakken_3;numeric;93,00
MVR_INT_Middelbare_overige_vakken_3_naam;character;92,80
MVR_INT_Middelbare_overige_vakken_4;numeric;97,45
MVR_INT_Middelbare_overige_vakken_4_naam;character;97,38
MVR_INT_Middelbare_overige_vakken_5;numeric;98,97
MVR_INT_Middelbare_overige_vakken_5_naam;character;98,95
MVR_INT_Middelbare_overige_vakken_6;numeric;99,67
MVR_INT_Middelbare_overige_vakken_6_naam;character;99,67
MVR_PSH_Prestatiegericht_1;numeric;3,61
MVR_PSH_Prestatiegericht_2;numeric;3,58
MVR_PSH_Prestatiegericht_3;numeric;3,58
MVR_PSH_Prestatiegericht_4;numeric;3,58
MVR_PSH_Prestatiegericht_gemiddelde;numeric;3,87
MVR_PSH_Statusgericht_1;numeric;3,60
MVR_PSH_Statusgericht_2;numeric;3,62
MVR_PSH_Statusgericht_3;numeric;3,62
MVR_PSH_Statusgericht_4;numeric;3,62
MVR_PSH_Statusgericht_gemiddelde;numeric;3,87
MVR_PSH_Gemeenschapsgericht_1;numeric;3,64
MVR_PSH_Gemeenschapsgericht_2;numeric;3,62
MVR_PSH_Gemeenschapsgericht_3;numeric;3,64
MVR_PSH_Gemeenschapsgericht_4;numeric;3,64
MVR_PSH_Gemeenschapsgericht_gemiddelde;numeric;3,87
MVR_PSH_Autonomie_1;numeric;3,72
MVR_PSH_Autonomie_2;numeric;3,69
MVR_PSH_Autonomie_3;numeric;3,69
