preferred_field_name;raw_field_name;in_use
MVR_Afnameduur;Personal_information1_Duration;TRUE
MVR_Herkomst;Personal_information1_Culture;TRUE
Personal_information1_DisplayName;Personal_information1_DisplayName;TRUE
Personal_information1_CallName;Personal_information1_CallName;TRUE
MVR_Academisch_jaar;Personal_information1_AcademicYear;TRUE
MVR_Opleidingscluster;Personal_information1_Domain;TRUE
MVR_Opleidingsnaam;Personal_information1_ProgramNL;TRUE
MVR_OpleidingsID;Personal_information1_ProgramId;TRUE
MVR_VUnetID;Personal_information1_VunetId;TRUE
MVR_AI_Vooropleiding;Background_information1_Prior_education;TRUE
MVR_AI_Vooropleiding_HO;Background_information1_Prior_study_programme;TRUE
MVR_AI_Keuzeprofiel_middelbare_school;Background_information1_Profile_highschool;TRUE
MVR_AI_Top_3_studies_keuze_1;Background_information1_Top3_studies1;TRUE
MVR_AI_Top_3_studies_keuze_2;Background_information1_Top3_studies2;TRUE
MVR_AI_Top_3_studies_keuze_3;Background_information1_Top3_studies3;TRUE
MVR_AI_Keuzezekerheid;Background_information1_Certainty_choice;TRUE
MVR_AI_Keuzezekerheid_tijd;Background_information1_Time_since_you_made_decision;TRUE
MVR_OBK_Vertrouwen_studiesuccess_eerste_jaar;Background_information1_Expected_passing_rate;TRUE
MVR_Studiesituatie_Omgeving_hulp;Study_situation1_SS1;TRUE
MVR_Studiesituatie_Goede_werkplek;Study_situation1_SS2;TRUE
MVR_Studiesituatie_Zorgtaak_belemmering;Study_situation1_SS3R;TRUE
MVR_Studiesituatie_Ondersteuning_nodig;Study_situation1_SS4R;TRUE
MVR_Studiesituatie_Financien_belemmering;Study_situation1_SS5R;TRUE
MVR_Studiesituatie_Ouders_universiteit;Study_situation1_SS6;TRUE
MVR_Studiesituatie_Ouders_HBO;Study_situation1_SS7;TRUE
MVR_Maatschappelijke_motivatie_Financieel;Service_Motivation1_SM1;TRUE
MVR_Maatschappelijke_motivatie_Impact;Service_Motivation1_SM2;TRUE
MVR_Maatschappelijke_motivatie_Dienst;Service_Motivation1_SM3;TRUE
MVR_Maatschappelijke_motivatie_Normen_Waarden;Service_Motivation1_SM4;TRUE
MVR_Maatschappelijke_motivatie_Overtuiging;Service_Motivation1_SM5;TRUE
MVR_Maatschappelijke_motivatie_gemiddelde;Service_Motivation1_StudentAverage;TRUE
MVR_Maatschappelijke_werking_CE1;Civic_efficacy1_CE1;TRUE
MVR_Maatschappelijke_werking_CE2;Civic_efficacy1_CE2;TRUE
MVR_Maatschappelijke_werking_CE3;Civic_efficacy1_CE3;TRUE
MVR_Maatschappelijke_werking_CE4;Civic_efficacy1_CE4;TRUE
MVR_Maatschappelijke_werking_CE5;Civic_efficacy1_CE5;TRUE
MVR_Maatschappelijke_gemiddelde;Civic_efficacy1_StudentAverage;TRUE
MVR_Middelbare_school_diploma;Highschool_course1_Diploma;TRUE
MVR_INT_Middelbare_Aardrijkskunde;Highschool_course1_Geography;TRUE
MVR_INT_Middelbare_Biologie;Highschool_course1_Biology;TRUE
MVR_INT_Middelbare_Duits;Highschool_course1_German;TRUE
MVR_INT_Middelbare_Economie;Highschool_course1_Economics;TRUE
MVR_INT_Middelbare_Engels;Highschool_course1_English;TRUE
MVR_INT_Middelbare_Frans;Highschool_course1_French;TRUE
MVR_INT_Middelbare_Geschiedenis;Highschool_course1_History;TRUE
MVR_INT_Middelbare_Grieks;Highschool_course1_Greek;TRUE
MVR_INT_Middelbare_Latijns;Highschool_course1_Latin;TRUE
MVR_INT_Middelbare_Natuurkunde;Highschool_course1_Physics;TRUE
MVR_INT_Middelbare_Nederlands;Highschool_course1_Dutch;TRUE
MVR_INT_Middelbare_Scheikunde;Highschool_course1_Chemistry;TRUE
MVR_INT_Middelbare_Wiskunde_A;Highschool_course1_MathA;TRUE
MVR_INT_Middelbare_Wiskunde_B;Highschool_course1_MathB;TRUE
MVR_INT_Middelbare_Wiskunde_C;Highschool_course1_MathC;TRUE
MVR_INT_Middelbare_Wiskunde_D;Highschool_course1_MathD;TRUE
MVR_INT_Middelbare_Filosofie;Highschool_course1_Philosophy_of_life;TRUE
MVR_INT_Middelbare_Maatschappijleer;Highschool_course1_Civics;TRUE
MVR_INT_Middelbare_Lichamelijke_Ontwikkeling;Highschool_course1_Physical_education;TRUE
MVR_INT_Middelbare_overige_vakken_aantal;Highschool_course1_Other_courses;TRUE
MVR_INT_Middelbare_overige_vakken_1;Highschool_course1_Other_course1;TRUE
MVR_INT_Middelbare_overige_vakken_1_naam;Highschool_course1_Other_course1_Name;TRUE
MVR_INT_Middelbare_overige_vakken_2;Highschool_course1_Other_course2;TRUE
MVR_INT_Middelbare_overige_vakken_2_naam;Highschool_course1_Other_course2_Name;TRUE
MVR_INT_Middelbare_overige_vakken_3;Highschool_course1_Other_course3;TRUE
MVR_INT_Middelbare_overige_vakken_3_naam;Highschool_course1_Other_course3_Name;TRUE
MVR_INT_Middelbare_overige_vakken_4;Highschool_course1_Other_course4;TRUE
MVR_INT_Middelbare_overige_vakken_4_naam;Highschool_course1_Other_course4_Name;TRUE
MVR_INT_Middelbare_overige_vakken_5;Highschool_course1_Other_course5;TRUE
MVR_INT_Middelbare_overige_vakken_5_naam;Highschool_course1_Other_course5_Name;TRUE
MVR_INT_Middelbare_overige_vakken_6;Highschool_course1_Other_course6;TRUE
MVR_INT_Middelbare_overige_vakken_6_naam;Highschool_course1_Other_course6_Name;TRUE
MVR_PSH_Prestatiegericht_1;Achievement_striving1_AS1;TRUE
MVR_PSH_Prestatiegericht_2;Achievement_striving1_AS2;TRUE
MVR_PSH_Prestatiegericht_3;Achievement_striving1_AS3;TRUE
MVR_PSH_Prestatiegericht_4;Achievement_striving1_AS4;TRUE
MVR_PSH_Prestatiegericht_gemiddelde;Achievement_striving1_StudentAverage;TRUE
MVR_PSH_Statusgericht_1;Status_striving1_SS1;TRUE
MVR_PSH_Statusgericht_2;Status_striving1_SS2;TRUE
MVR_PSH_Statusgericht_3;Status_striving1_SS3;TRUE
MVR_PSH_Statusgericht_4;Status_striving1_SS4;TRUE
MVR_PSH_Statusgericht_gemiddelde;Status_striving1_StudentAverage;TRUE
MVR_PSH_Gemeenschapsgericht_1;Communion_striving1_CS1;TRUE
MVR_PSH_Gemeenschapsgericht_2;Communion_striving1_CS2;TRUE
MVR_PSH_Gemeenschapsgericht_3;Communion_striving1_CS3;TRUE
MVR_PSH_Gemeenschapsgericht_4;Communion_striving1_CS4;TRUE
MVR_PSH_Gemeenschapsgericht_gemiddelde;Communion_striving1_StudentAverage;TRUE
MVR_PSH_Autonomie_1;Autonomy_satisfaction1_Aut_S1;TRUE
MVR_PSH_Autonomie_2;Autonomy_satisfaction1_Aut_S2;TRUE
MVR_PSH_Autonomie_3;Autonomy_satisfaction1_Aut_S3;TRUE
MVR_PSH_Autonomie_4;Autonomy_satisfaction1_Aut_S4;TRUE
MVR_PSH_Autonomie_gemiddelde;Autonomy_satisfaction1_StudentAverage;TRUE
MVR_PSH_Toewijding_DID01;Commitment1_DIDS01;TRUE
MVR_PSH_Toewijding_DID06;Commitment1_DIDS06;TRUE
MVR_PSH_Toewijding_DID11;Commitment1_DIDS11;TRUE
MVR_PSH_Toewijding_DID16;Commitment1_DIDS16;TRUE
MVR_PSH_Toewijding_DID21;Commitment1_DIDS21;TRUE
MVR_PSH_Toewijding_gemiddelde;Commitment1_StudentAverage;TRUE
MVR_PSH_Exploratief_actief_DID02;Exploration_in_breadth1_DIDS02;TRUE
MVR_PSH_Exploratief_actief_DID07;Exploration_in_breadth1_DIDS07;TRUE
MVR_PSH_Exploratief_actief_DID12;Exploration_in_breadth1_DIDS12;TRUE
MVR_PSH_Exploratief_actief_DID17;Exploration_in_breadth1_DIDS17;TRUE
MVR_PSH_Exploratief_actief_DID22;Exploration_in_breadth1_DIDS22;TRUE
MVR_PSH_Exploratief_actief_gemiddelde;Exploration_in_breadth1_StudentAverage;TRUE
MVR_PSH_Exploratief_overdenken_DID03;Ruminative_exploration1_DIDS03;TRUE
MVR_PSH_Exploratief_overdenken_DID08;Ruminative_exploration1_DIDS08;TRUE
