preferred_field_name;min;max;q1;median;q3;mean;sd
MVR_Afnameduur;00:04:56.5471289;99.20:38:41.8002995;NA;NA;NA;NA;NA
MVR_Herkomst;en-GB;nl-NL;NA;NA;NA;NA;NA
Personal_information1_DisplayName;;;NA;NA;NA;NA;NA
Personal_information1_CallName;;;NA;NA;NA;NA;NA
MVR_Academisch_jaar;2023;2023;2023,00;2023,00;2023,00;2023,0000;0,000
MVR_Opleidingscluster;Behavioral Education Sciences;Social Sciences;NA;NA;NA;NA;NA
MVR_Opleidingsnaam;Aarde, Economie en Duurzaamheid;Theology and Religious Studies;NA;NA;NA;NA;NA
MVR_OpleidingsID;50043568;52312627;50049397,00;50051756,00;50830349,00;50499897,0000;797629,000
MVR_VUnetID;;;NA;NA;NA;NA;NA
MVR_AI_Vooropleiding;Buitenlands_diploma;VWO;NA;NA;NA;NA;NA
MVR_AI_Vooropleiding_HO;1;VWO en daarna HKU Kunst en Economie;NA;NA;NA;NA;NA
MVR_AI_Keuzeprofiel_middelbare_school;Cultuur_Maatschappij;Overig;NA;NA;NA;NA;NA
MVR_AI_Top_3_studies_keuze_1;50043568;52312627;50049401,00;50051756,00;50830349,00;50495473,0000;784504,000
MVR_AI_Top_3_studies_keuze_2;50043568;52312627;50050845,00;50051755,00;50830350,00;50439095,0000;693309,000
MVR_AI_Top_3_studies_keuze_3;50043568;52312627;50049396,00;50051755,00;50830349,00;50457495,0000;716546,000
MVR_AI_Keuzezekerheid;1;5;4,00;4,00;5,00;4,0400;0,852
MVR_AI_Keuzezekerheid_tijd;7;367;180,00;360,00;367,00;269,0000;122,000
MVR_OBK_Vertrouwen_studiesuccess_eerste_jaar;0_20;81_100;NA;NA;NA;NA;NA
MVR_Studiesituatie_Omgeving_hulp;1;5;4,00;4,00;5,00;4,2200;0,718
MVR_Studiesituatie_Goede_werkplek;1;5;4,00;4,00;5,00;4,4000;0,653
MVR_Studiesituatie_Zorgtaak_belemmering;1;5;4,00;5,00;5,00;4,3100;0,847
MVR_Studiesituatie_Ondersteuning_nodig;1;5;3,00;4,00;4,00;3,7500;0,865
MVR_Studiesituatie_Financien_belemmering;1;5;4,00;4,00;5,00;4,2400;0,859
MVR_Studiesituatie_Ouders_universiteit;J;N;NA;NA;NA;NA;NA
MVR_Studiesituatie_Ouders_HBO;J;N;NA;NA;NA;NA;NA
MVR_Maatschappelijke_motivatie_Financieel;1;5;2,00;2,00;3,00;2,5500;0,925
MVR_Maatschappelijke_motivatie_Impact;1;5;3,00;4,00;4,00;3,7700;0,880
MVR_Maatschappelijke_motivatie_Dienst;1;5;3,00;4,00;4,00;3,6300;0,980
MVR_Maatschappelijke_motivatie_Normen_Waarden;1;5;4,00;4,00;5,00;4,1800;0,744
MVR_Maatschappelijke_motivatie_Overtuiging;1;5;3,00;4,00;5,00;3,9000;0,883
MVR_Maatschappelijke_motivatie_gemiddelde;1;5;3,20;3,60;4,00;3,6100;0,490
MVR_Maatschappelijke_werking_CE1;1;5;4,00;4,00;4,00;4,0300;0,671
MVR_Maatschappelijke_werking_CE2;1;5;2,00;3,00;3,00;2,7300;1,000
MVR_Maatschappelijke_werking_CE3;1;5;4,00;4,00;5,00;4,2100;0,632
MVR_Maatschappelijke_werking_CE4;1;5;4,00;4,00;4,00;3,9700;0,731
MVR_Maatschappelijke_werking_CE5;1;5;1,00;2,00;2,00;1,7900;0,823
MVR_Maatschappelijke_gemiddelde;1;5;3,20;3,40;3,60;3,3500;0,358
MVR_Middelbare_school_diploma;J;N;NA;NA;NA;NA;NA
MVR_INT_Middelbare_Aardrijkskunde;-1;5;2,00;3,00;4,00;2,7200;1,890
MVR_INT_Middelbare_Biologie;-1;5;2,00;4,00;5,00;3,0300;2,020
MVR_INT_Middelbare_Duits;-1;5;1,00;2,00;3,00;1,7900;1,730
MVR_INT_Middelbare_Economie;-1;5;2,00;4,00;4,00;3,0200;1,960
MVR_INT_Middelbare_Engels;-1;5;3,00;4,00;5,00;3,8900;0,920
MVR_INT_Middelbare_Frans;-1;5;1,00;2,00;4,00;2,0400;1,920
MVR_INT_Middelbare_Geschiedenis;-1;5;2,00;4,00;5,00;3,1100;2,030
MVR_INT_Middelbare_Grieks;-1;5;-1,00;-1,00;1,00;0,0566;1,810
MVR_INT_Middelbare_Latijns;-1;5;-1,00;-1,00;2,00;0,2510;1,970
MVR_INT_Middelbare_Natuurkunde;-1;5;1,00;3,00;4,00;2,3300;2,110
MVR_INT_Middelbare_Nederlands;-1;5;3,00;3,00;4,00;3,2700;0,940
MVR_INT_Middelbare_Scheikunde;-1;5;1,00;3,00;4,00;2,4600;2,080
MVR_INT_Middelbare_Wiskunde_A;-1;5;-1,00;3,00;4,00;2,1400;2,320
MVR_INT_Middelbare_Wiskunde_B;-1;5;-1,00;-1,00;4,00;1,2300;2,480
MVR_INT_Middelbare_Wiskunde_C;-1;5;-1,00;-1,00;-1,00;-0,6120;1,190
MVR_INT_Middelbare_Wiskunde_D;-1;5;-1,00;-1,00;-1,00;-0,4780;1,450
MVR_INT_Middelbare_Filosofie;-1;5;-1,00;-1,00;3,00;1,0700;2,320
MVR_INT_Middelbare_Maatschappijleer;-1;5;3,00;4,00;5,00;3,6300;1,410
MVR_INT_Middelbare_Lichamelijke_Ontwikkeling;-1;5;3,00;4,00;5,00;3,7500;1,200
MVR_INT_Middelbare_overige_vakken_aantal;0;6;0,00;1,00;2,00;1,1300;1,210
MVR_INT_Middelbare_overige_vakken_1;1;5;4,00;4,00;5,00;4,0900;0,876
MVR_INT_Middelbare_overige_vakken_1_naam;Algemene natuurwetenschappen (ANW);Turks;NA;NA;NA;NA;NA
MVR_INT_Middelbare_overige_vakken_2;1;5;3,00;4,00;5,00;3,8700;0,999
MVR_INT_Middelbare_overige_vakken_2_naam;Algemene natuurwetenschappen (ANW);Turks;NA;NA;NA;NA;NA
MVR_INT_Middelbare_overige_vakken_3;1;5;3,00;4,00;4,00;3,6400;1,100
MVR_INT_Middelbare_overige_vakken_3_naam;Algemene natuurwetenschappen (ANW);Turks;NA;NA;NA;NA;NA
MVR_INT_Middelbare_overige_vakken_4;1;5;3,00;4,00;4,00;3,5500;1,140
MVR_INT_Middelbare_overige_vakken_4_naam;Algemene natuurwetenschappen (ANW);Texctiele vormgeving;NA;NA;NA;NA;NA
MVR_INT_Middelbare_overige_vakken_5;1;5;3,00;4,00;4,00;3,4500;1,150
MVR_INT_Middelbare_overige_vakken_5_naam;Algemene natuurwetenschappen (ANW);Texctiele vormgeving;NA;NA;NA;NA;NA
MVR_INT_Middelbare_overige_vakken_6;1;5;2,25;4,00;4,00;3,4800;1,170
MVR_INT_Middelbare_overige_vakken_6_naam;Art (music);Texctiele vormgeving;NA;NA;NA;NA;NA
MVR_PSH_Prestatiegericht_1;1;5;4,00;4,00;5,00;4,1000;0,663
