preferred_field_name;raw_field_name;in_use
MAC_StudentID;Student_object_ID;TRUE
RES_Studie_object_ID;Studie_object_ID;TRUE
RES_Studieprogramma_ID;Studieprogramma_object_ID;TRUE
MAC_Begindatum;Start.date;TRUE
MAC_Einddatum;End.date;TRUE
MVR_Matchingsvragenlijst_verplicht_bij_opleiding;Matching_relevant;TRUE
MAC_Matchingsactiviteit_deelgenomen;Activiteit_deelgenomen;TRUE
MAC_Matchingsactiviteit_datum;Activiteit_datum;TRUE
MAC_Matchingsactiviteit_aanwezig;Activiteit_aanwezigheid;TRUE
MAC_Matchingsactiviteit_resultaat;Activiteit.resultaat;TRUE
MVR_Matchingsvragenlijst_vrijstelling;Vragenlijst_vrijstelling;TRUE
MVR_Matchingsvragenlijst_ingevuld;Vragenlijst_ingevuld;TRUE
MAC_Matchingactiviteit_vrijstelling;Activiteit_vrijstelling;TRUE
MAC_Matchingsreden_vrijstelling;Vrijstelling_reden;TRUE
