preferred_field_name;category_1;percent_1;category_2;percent_2;category_3;percent_3;category_4;percent_4;category_5;percent_5
SBZ_Scholenbezoek_datum;2018-01-18;23.48;2017-11-15;19.59;2017-12-11;14.39;2017-12-12;13.99;2017-11-14;7.83
SBZ_Scholenbezoek_event_naam;4Strax Alkmaar;28.38;stichting STUVO Midden Nederland;23.45;SKIA;15.49;Leidse Voorlichingsavonden;11.83;4strax NT & NG Hogeschool INHOLLAND Alkmaar;6.06
SBZ_Scholenbezoek_studie;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBZ_Scholenbezoek_type_bezoek;overkoepeld event;89.34;individueel scholenbezoek;10.66;NA;NA;NA;NA;NA;NA
SBZ_Scholenbezoek_type_event;schoolvoorlichting;100;NA;NA;NA;NA;NA;NA;NA;NA
SBZ_Scholenbezoek_type_subevent;presentatie;96.1;NA;NA;NA;NA;NA;NA;NA;NA
SBZ_Scholenbezoek_stopgezet;stopgezet;61.83;NA;NA;NA;NA;NA;NA;NA;NA
SBZ_Scholenbezoek_stopgezet_reden;afgelast door organisatie;50;NA;NA;NA;NA;NA;NA;NA;NA
SBZ_Scholenbezoek_school;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBZ_Scholenbezoek_brin6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SBZ_Scholenbezoek_studiecode;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
