preferred_field_name;min;max;q1;median;q3;mean;sd
SLK_Academisch_jaar;2018;2025;2020;2021;2023;2021,00;1,96
SLK_Opleiding_start_maand;APR;SEP;NA;NA;NA;NA;NA
SLK_Kalenderweken;1;52;18;27;34;26,10;11,40
SLK_Week_vanaf_1okt;1;53;28;38;45;35,40;12,30
SLK_Faculteit_omschrijving;1000 Faculteit Religie en Theologie;Niet toegewezen;NA;NA;NA;NA;NA
Studierichting;B Aarde, Economie en Duurzaamheid;RM Social Psychology;NA;NA;NA;NA;NA
SLK_EER;EER;Onbekend;NA;NA;NA;NA;NA
SLK_Geslacht;Man;Vrouw;NA;NA;NA;NA;NA
SLK_Student_geschiedenis_kort_categorie;#;6;1;4;5;3,30;1,91
SLK_Student_geschiedenis_lang_categorie;#;6;1;3;4;2,99;1,80
Brede universiteit;Brede universiteit;Brede universiteit;NA;NA;NA;NA;NA
BRIN nummer - Key;21PL;21PL;NA;NA;NA;NA;NA
BRIN nummer;Vrije Universiteit Amsterdam;Vrije Universiteit Amsterdam;NA;NA;NA;NA;NA
Sorteer volgorde;01;01;1;1;1;1,00;0,00
SLK_Opleidingscode_CROHO;50007;69333;56606;60084;65014;59889,00;5143,00
SLK_Opleidingsnaam_CROHO;B Aarde, Economie en Duurzaamheid;M TRANSPORT AND SUPPLY CHAIN MANAGEMENT;NA;NA;NA;NA;NA
SLK_Opleidingscode_Z08;50007;69333;56606;60084;65014;59893,00;5146,00
SLK_Opleidingsnaam_Z08;B Aarde, Economie en Duurzaamheid;M TRANSPORT AND SUPPLY CHAIN MANAGEMENT;NA;NA;NA;NA;NA
SLK_Fixus;J;N;NA;NA;NA;NA;NA
HBO_WO;Niet toegewezen;WO opleiding;NA;NA;NA;NA;NA
SLK_Opleidingsvorm;Deeltijd;Voltijd;NA;NA;NA;NA;NA
SLK_Opleidings_fase;Bachelor;Niet toegewezen;NA;NA;NA;NA;NA
SLK_Herinschrijving;J;O;NA;NA;NA;NA;NA
SLK_Hogerejaars;J;N;NA;NA;NA;NA;NA
SLK_Status_aanmelding;Annulering / afwijzing;Verzoek;NA;NA;NA;NA;NA
BRIN volgnummer - Key;21PL/#;21PL/#;NA;NA;NA;NA;NA
BRIN volgnummer;"Vrije Univ. Amsterdam; Amsterdam";"Vrije Univ. Amsterdam; Amsterdam";NA;NA;NA;NA;NA
SLK_Sector;#;TAAL EN CULTUUR;NA;NA;NA;NA;NA
SLK_Aantal_aanmeldingen_ongewogen;1;758;1;2;5;7,57;22,70
SLK_Aantal_aanmeldingen_gewogen;,111;99,999;NA;NA;NA;NA;NA
SLK_Aantal_inschrijfverzoeken;0;98;1;3;6;5,68;8,19
SLK_Aantal_aanmeldingen_geannuleerd;0;221;0;2;6;6,29;13,80
