preferred_field_name;category_1;percent_1;category_2;percent_2;category_3;percent_3;category_4;percent_4;category_5;percent_5
X.1;j;35.14;s;24.32;NA;NA;NA;NA;NA;NA
TTO_BRIN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TTO_BRIN6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TTO_Schoolnaam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TTO_Adres;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TTO_Postcode;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TTO_Plaats;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TTO_VWO;X;79.73;NA;NA;NA;NA;NA;NA;NA;NA
TTO_HAVO;X;37.84;NA;NA;NA;NA;NA;NA;NA;NA
TTO_VMBO;X;16.89;NA;NA;NA;NA;NA;NA;NA;NA
TTO_Certificaat;s;42.57;j;29.73;NA;NA;NA;NA;NA;NA
X.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
X.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
