preferred_field_name;category_1;percent_1;category_2;percent_2;category_3;percent_3;category_4;percent_4;category_5;percent_5
Ob;CG;100;NA;NA;NA;NA;NA;NA;NA;NA
PV;01;100;NA;NA;NA;NA;NA;NA;NA;NA
UAS_Groepshiearchie_richting;A;50;B;50;NA;NA;NA;NA;NA;NA
UAS_Groepshiearchie_start_datum;1-9-2011;15.56;1-9-2002;12.11;1-9-2010;8.25;1-9-2012;6.83;1-2-2002;5.8
UAS_Groepshiearchie_eind_datum;31-12-9999;61.31;31-8-2012;6.97;NA;NA;NA;NA;NA;NA
Var.field;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ObjT.objID;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
STy.;A500;50;B500;50;NA;NA;NA;NA;NA;NA
UAS_Groepshierarchie_datum_veranderd;22-4-2010;9.25;NA;NA;NA;NA;NA;NA;NA;NA
H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RO;CG;100;NA;NA;NA;NA;NA;NA;NA;NA
ADATA.number;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
