preferred_field_name;type_of_variable;percentage_of_missing_values
Cl.;integer;0,00
Ob;character;0,00
UAS_Groepshierarchie_Onderliggende_groep_ID;integer;0,00
PV;character;0,00
UAS_Groepshiearchie_richting;character;0,00
Rel;numeric;0,00
S.0;numeric;0,00
Pr;integer;99,83
UAS_Groepshiearchie_start_datum;character;0,00
UAS_Groepshiearchie_eind_datum;character;0,00
Var.field;character;0,00
RNo;numeric;0,00
IT;numeric;0,00
ObjT.objID;character;0,00
STy.;character;0,00
UAS_Groepshierarchie_datum_veranderd;character;0,00
X;logical;100,00
Re;logical;100,00
H;character;99,99
Txt.Mod.;numeric;0,00
RO;character;0,00
UAS_Groepshierarchie_Bovenliggende_groep_ID;integer;0,00
Pct.;numeric;0,00
ADATA.number;character;0,00
