preferred_field_name;raw_field_name;in_use
Cl.;Cl.;FALSE
Ob;Ob;FALSE
UAS_Groepshierarchie_Onderliggende_groep_ID;ObjectID;TRUE
PV;PV;FALSE
UAS_Groepshiearchie_richting;S;TRUE
Rel;Rel;FALSE
S.0;S.1;FALSE
Pr;Pr;FALSE
UAS_Groepshiearchie_start_datum;Start.Date;TRUE
UAS_Groepshiearchie_eind_datum;End.Date;TRUE
Var.field;Var.field;TRUE
RNo;RNo;TRUE
IT;IT;FALSE
ObjT.objID;ObjT.objID;TRUE
STy.;STy.;FALSE
UAS_Groepshierarchie_datum_veranderd;Changed.On;TRUE
X;X;FALSE
Re;Re;FALSE
H;H;FALSE
Txt.Mod.;Txt.Mod.;TRUE
RO;RO;FALSE
UAS_Groepshierarchie_Bovenliggende_groep_ID;ID.of.related.object;TRUE
Pct.;Pct.;FALSE
ADATA.number;ADATA.number;TRUE
