preferred_field_name;min;max;q1;median;q3;mean;sd
Cl.;55;55;55;55,0;55;55,00;0,00
Ob;CG;CG;NA;NA;NA;NA;NA
UAS_Groepshierarchie_Onderliggende_groep_ID;50044110;52320461;50049166;50598999,5;50987628;50589210,00;610211,00
PV;01;01;1;1,0;1;1,00;0,00
UAS_Groepshiearchie_richting;A;B;NA;NA;NA;NA;NA
Rel;500;500;500;500,0;500;500,00;0,00
S.0;1;1;1;1,0;1;1,00;0,00
Pr;1;5;2;2,0;3;2,46;1,03
UAS_Groepshiearchie_start_datum;1-1-2002;8-6-2010;NA;NA;NA;NA;NA
UAS_Groepshiearchie_eind_datum;1-4-2012;5-9-2010;NA;NA;NA;NA;NA
Var.field;CG50044110;CG52320461;NA;NA;NA;NA;NA
RNo;0;0;0;0,0;0;0,00;0,00
IT;1001;1001;1001;1001,0;1001;1001,00;0,00
ObjT.objID;CG50044110;CG52320461;NA;NA;NA;NA;NA
STy.;A500;B500;NA;NA;NA;NA;NA
UAS_Groepshierarchie_datum_veranderd;1-10-2010;9-9-2015;NA;NA;NA;NA;NA
X;Inf;-Inf;NA;NA;NA;NA;NA
Re;Inf;-Inf;NA;NA;NA;NA;NA
H;X;X;NA;NA;NA;NA;NA
Txt.Mod.;0;0;0;0,0;0;0,00;0,00
RO;CG;CG;NA;NA;NA;NA;NA
UAS_Groepshierarchie_Bovenliggende_groep_ID;50044110;52320461;50049166;50598999,5;50987628;50589210,00;610211,00
Pct.;0;0;0;0,0;0;0,00;0,00
ADATA.number;P30-----055A00000000000000121187;P30-----055A00000000000069045780;NA;NA;NA;NA;NA
