preferred_field_name;type_of_variable;percentage_of_missing_values
INS_Studentnummer_anoniem;character;0,00
INS_Examenjaar;character;0,00
INS_Examenmaand;character;0,00
INS_Instellingscode;character;0,00
INS_Opleidingscode_historisch;character;0,00
INS_Opleidingscode_actueel;character;0,00
INS_Iscedf2013;character;0,00
INS_Opleidingscode_CROHO;character;0,00
INS_Opleidingsfase_examen_actueel;character;0,00
INS_Type_hoger_onderwijs_soort_hoger_onderwijs;character;0,00
INS_Aantal_maand_examen_hoger_onderwijs;character;0,00
INS_Aantal_maand_examen_soort_instelling;character;0,00
INS_Aantal_maand_examen_instelling;character;0,00
INS_Aantal_maand_examen_type_hoger_onderwijs;character;0,00
INS_Aantal_maand_examen_opleiding;character;0,00
INS_Examen_bachelor_masterin_een;character;54,55
INS_Examen_bachelor_masterin_twee;character;54,55
INS_Examen_bachelor_masterin_totaal;character;54,55
INS_Examen_bachelor_masterex;character;54,55
INS_Examen_bachelor_masterex5;character;54,55
INS_Examen_bachelor_masterex_totaal;character;54,55
INS_Examen_bachelor_masterex_jaar;character;72,06
INS_Instroom_categorie;character;46,29
INS_Opleidingsvorm;character;0,00
INS_Soort_HO;character;0,00
INS_Vooropleiding_voor_HO_code;character;0,00
INS_Vooropleiding_voor_HO_jaar;character;0,00
INS_Vooropleiding_voor_HO_instellingscode;character;0,00
INS_Hoogste_vooropleiding_code;character;0,00
INS_Hoogste_vooropleiding_jaar;character;0,00
INS_Hoogste_vooropleiding_instellingscode;character;0,00
DEM_Geslacht;character;0,00
DEM_Leeftijd_peildatum_1_jan;character;0,00
DEM_Nationaliteit_1;character;0,00
INS_Vestigingsnummer_inschrijving;character;0,00
INS_Vestigingsnummer_examen;character;0,00
DEM_Indicatie_nationaliteit_EER_actueel;character;0,00
DEM_Indicatie_internationale_student;character;0,00
DEM_Indicatie_nationaliteit_EER_peildatum;character;0,00
