preferred_field_name;raw_field_name;in_use
INS_Studentnummer_anoniem;X1;TRUE
INS_Examenjaar;X2;TRUE
INS_Examenmaand;X3;TRUE
INS_Instellingscode;X4;TRUE
INS_Opleidingscode_historisch;X5;TRUE
INS_Opleidingscode_actueel;X6;TRUE
INS_Iscedf2013;X7;TRUE
INS_Opleidingscode_CROHO;X8;TRUE
INS_Opleidingsfase_examen_actueel;X9;TRUE
INS_Type_hoger_onderwijs_soort_hoger_onderwijs;X10;TRUE
INS_Aantal_maand_examen_hoger_onderwijs;X11;TRUE
INS_Aantal_maand_examen_soort_instelling;X12;TRUE
INS_Aantal_maand_examen_instelling;X13;TRUE
INS_Aantal_maand_examen_type_hoger_onderwijs;X14;TRUE
INS_Aantal_maand_examen_opleiding;X15;TRUE
INS_Examen_bachelor_masterin_een;X16;TRUE
INS_Examen_bachelor_masterin_twee;X17;TRUE
INS_Examen_bachelor_masterin_totaal;X18;TRUE
INS_Examen_bachelor_masterex;X19;TRUE
INS_Examen_bachelor_masterex5;X20;TRUE
INS_Examen_bachelor_masterex_totaal;X21;TRUE
INS_Examen_bachelor_masterex_jaar;X22;TRUE
INS_Instroom_categorie;X23;TRUE
INS_Opleidingsvorm;X24;TRUE
INS_Soort_HO;X25;TRUE
INS_Vooropleiding_voor_HO_code;X26;TRUE
INS_Vooropleiding_voor_HO_jaar;X27;TRUE
INS_Vooropleiding_voor_HO_instellingscode;X28;TRUE
INS_Hoogste_vooropleiding_code;X29;TRUE
INS_Hoogste_vooropleiding_jaar;X30;TRUE
INS_Hoogste_vooropleiding_instellingscode;X31;TRUE
DEM_Geslacht;X32;TRUE
DEM_Leeftijd_peildatum_1_jan;X33;TRUE
DEM_Nationaliteit_1;X34;TRUE
INS_Vestigingsnummer_inschrijving;X35;TRUE
INS_Vestigingsnummer_examen;X36;TRUE
DEM_Indicatie_nationaliteit_EER_actueel;X37;TRUE
DEM_Indicatie_internationale_student;X38;TRUE
DEM_Indicatie_nationaliteit_EER_peildatum;X39;TRUE
