preferred_field_name;min;max;q1;median;q3;mean;sd
INS_Studentnummer_anoniem;700000163;744999762;707746843;715505548;723285988;7,1600e+08;9485628,000
INS_Examenjaar;2008;2021;2012;2015;2019;2,0150e+03;4,010
INS_Examenmaand;01;12;6;7;8;6,7000e+00;2,630
INS_Instellingscode;21PB;21PN;NA;NA;NA;NA;NA
INS_Opleidingscode_historisch;06002;69333;6604;60045;60810;3,8533e+04;27528,000
INS_Opleidingscode_actueel;06003;69333;56553;60047;60732;5,8139e+04;8562,000
INS_Iscedf2013;011101;999999;31401;41305;54201;4,8204e+04;38055,000
INS_Opleidingscode_CROHO;0;9;4;6;8;5,9300e+00;2,240
INS_Opleidingsfase_examen_actueel;B;Z;NA;NA;NA;NA;NA
INS_Type_hoger_onderwijs_soort_hoger_onderwijs;ba;pm;NA;NA;NA;NA;NA
INS_Aantal_maand_examen_hoger_onderwijs;1;99;36;58;76;5,9500e+01;27,500
INS_Aantal_maand_examen_soort_instelling;1;99;35;48;70;5,3300e+01;25,500
INS_Aantal_maand_examen_instelling;1;99;35;46;62;4,8800e+01;24,700
INS_Aantal_maand_examen_type_hoger_onderwijs;1;99;22;35;46;3,5200e+01;19,200
INS_Aantal_maand_examen_opleiding;1;99;20;35;42;3,3400e+01;18,300
INS_Examen_bachelor_masterin_een;0;2;1;1;1;8,7600e-01;0,585
INS_Examen_bachelor_masterin_twee;0;2;1;1;1;9,7400e-01;0,557
INS_Examen_bachelor_masterin_totaal;0;2;1;1;1;1,0000e+00;0,547
INS_Examen_bachelor_masterex;0;2;0;1;1;6,4100e-01;0,659
INS_Examen_bachelor_masterex5;0;2;0;1;1;7,4600e-01;0,648
INS_Examen_bachelor_masterex_totaal;0;2;0;1;1;7,5800e-01;0,647
INS_Examen_bachelor_masterex_jaar;2008;2021;2013;2016;2019;2,0160e+03;3,510
INS_Instroom_categorie;1;4;1;1;2;1,7700e+00;1,180
INS_Opleidingsvorm;1;3;1;1;1;1,0300e+00;0,177
INS_Soort_HO;wo ;wo ;NA;NA;NA;NA;NA
INS_Vooropleiding_voor_HO_code;00000;00506;402;404;411;3,6000e+02;134,000
INS_Vooropleiding_voor_HO_jaar;0000;2020;2004;2009;2013;1,8330e+03;568,000
INS_Vooropleiding_voor_HO_instellingscode;    ;31JW;NA;NA;NA;NA;NA
INS_Hoogste_vooropleiding_code;00000;01360;411;709;904;6,7500e+02;284,000
INS_Hoogste_vooropleiding_jaar;0000;2020;2008;2012;2015;1,8600e+03;531,000
INS_Hoogste_vooropleiding_instellingscode;    ;31JW;NA;NA;NA;NA;NA
DEM_Geslacht;1;9;1;2;2;1,5500e+00;0,498
DEM_Leeftijd_peildatum_1_jan;17;92;22;23;25;2,4100e+01;4,130
DEM_Nationaliteit_1;    ;0499;1;1;1;2,2600e+01;64,600
INS_Vestigingsnummer_inschrijving;00;12;0;0;0;1,4800e-01;1,230
INS_Vestigingsnummer_examen;00;12;0;0;0;1,4800e-01;1,230
DEM_Indicatie_nationaliteit_EER_actueel;J;N;NA;NA;NA;NA;NA
DEM_Indicatie_internationale_student;J;N;NA;NA;NA;NA;NA
DEM_Indicatie_nationaliteit_EER_peildatum;J;N;NA;NA;NA;NA;NA
