preferred_field_name;category_1;percent_1;category_2;percent_2;category_3;percent_3;category_4;percent_4;category_5;percent_5
VAK_Academisch_jaar;2018-2019;19.75;2017-2018;18.21;2019-2020;17.03;2016-2017;15.2;2015-2016;14.75
VAK_Opleidingsnaam;Communicatie- en Informatiewetenschappen;11.66;Religiewetenschappen;11.42;Theologie (joint degree);11.38;Literatuur en Samenleving;5.85;NA;NA
VAK_Specialisatienaam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
VAK_Vaknaam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
VAK_Periode;P4;22.01;P5;17.72;P1;13.51;P2;12.72;Ac. Jaar (sept);6.6
VAK_EC;6EC;81;3EC;8.21;9EC;5.32;NA;NA;NA;NA
VAK_Code;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
VAK_Fase;B;100;NA;NA;NA;NA;NA;NA;NA;NA
VAK_Studiejaar;2;40.64;3;29.83;1;14.16;NA;NA;NA;NA
VAK_Verplicht;k;8.43;v;6.28;NA;NA;NA;NA;NA;NA
VAK_Opmerking;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
