preferred_field_name;min;max;q1;median;q3;mean;sd
VAK_Academisch_jaar;2011-2012;2019-2020;NA;NA;NA;NA;NA
VAK_Opleidingsnaam;Aardwetenschappen;Wiskunde;NA;NA;NA;NA;NA
VAK_Specialisatienaam;1e major Grieks met 2e major Latijn;Wiskunde en Natuurkunde;NA;NA;NA;NA;NA
VAK_Vaknaam;Aansprakelijkheidsrecht;Zuid-Afrikaanse letterkunde en geschiedenis;NA;NA;NA;NA;NA
VAK_Periode;Ac. Jaar;P6;NA;NA;NA;NA;NA
VAK_EC;0EC;P4;NA;NA;NA;NA;NA
VAK_Code;AB_1024;XBU_418085;NA;NA;NA;NA;NA
VAK_Fase;B;B;NA;NA;NA;NA;NA
VAK_Studiejaar;1;3;2;2;3;2,19;0,697
VAK_Verplicht;k;v;NA;NA;NA;NA;NA
VAK_Opmerking;* Choose 1 of 4 keuzevakken;Choose per track an elective in period 4 (6 EC) and an elective in;NA;NA;NA;NA;NA
