preferred_field_name;category_1;percent_1;category_2;percent_2;category_3;percent_3;category_4;percent_4;category_5;percent_5
VAK_Academisch_jaar;2019-2020;27.52;2018-2019;24.41;2017-2018;18.91;2016-2017;13.6;2015-2016;11.82
VAK_Opleidingsnaam;Rechtsgeleerdheid;6.89;Business Administration;5.73;Earth Sciences;5.5;Econometrics and Operations Research;5.44;NA;NA
VAK_Specialisatienaam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
VAK_Vaknaam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
VAK_Periode;P1;20.03;P2;18.66;P4;15.77;Ac. Jaar (sept);9.12;P5;7.48
VAK_EC;6EC;76.13;3EC;5.19;NA;NA;NA;NA;NA;NA
VAK_Code;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
VAK_Fase;M;100;NA;NA;NA;NA;NA;NA;NA;NA
VAK_Studiejaar;1;6.34;2;5.33;NA;NA;NA;NA;NA;NA
VAK_Verplicht;k;26.3;v;16.53;NA;NA;NA;NA;NA;NA
VAK_Opmerking;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Grijs: geen specialisatie/afstudeerrichting;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
