Veldnaam;Veldnaam_export;In_gebruik;Veldtype;p_na;lower;upper;pattern;Uniek;Percentages;Distribution;Opmerkingen
ID;ID;TRUE;numeric;0;6560731;6925684;^[0-9]{6,7}$;TRUE;;;
Jaar;Jaar;TRUE;numeric;0;2018;2018;20[0-9]{2};FALSE;2018: (100%);Q1 = 2018  | median = 2018  | Q3 =  2018  | mean = 2018  | stdev = 0;
Weegfactor;Weegfactor;TRUE;numeric;0;1;5;NA;FALSE;0.955439458113162: (21.5%) | 0.843655150651798: (16.3%) | 0.961320477504957: (10.3%) | 0.863013496547436: ( 8.4%) | 1.24406179441818: ( 6.9%) | 1.60848393621744: ( 6.8%) | 1.25461747024961: ( 6.5%) | 1.29684017357531: ( 5.2%) | 2.06009673369388: ( 4.2%) | 2.27904784746485: ( 4.0%) | Other: (10.0%);Q1 = 0.904772214122312  | median = 0.961320477504957  | Q3 =  1.25461747024961  | mean = 1.2  | stdev = 0.469;
Responsdatum;Responsdatum;TRUE;numeric;0;20180116;20180312;20[0-9]{2}[0-9]{2}[0-9]{2};FALSE;20180119: (15.1%) | 20180214: (11.6%) | 20180129: (10.3%) | 20180130: ( 5.3%) | 20180308: ( 5.3%) | 20180120: ( 5.0%) | 20180215: ( 4.5%) | 20180302: ( 4.5%) | 20180122: ( 2.9%) | 20180309: ( 2.8%) | Other: (32.7%);Q1 = 20180122  | median = 20180209  | Q3 =  20180226  | mean = 20180194  | stdev = 73.2;
BrinActueel;BrinActueel;TRUE;subset;0;NA;NA;[A-Z]{2};FALSE;21PK: (68%) | 21PL: (32%);NA;
BrinNaamActueel;BrinNaamActueel;TRUE;subset;0;NA;NA;NA;FALSE;Universiteit van Amsterdam: (68%) | Vrije Universiteit Amsterdam: (32%);NA;
Brin;Brin;TRUE;subset;0;NA;NA;[A-Z]{2};FALSE;21PK: (68%) | 21PL: (32%);NA;
BrinNaam;BrinNaam;TRUE;subset;0;NA;NA;NA;FALSE;Universiteit van Amsterdam: (68%) | Vrije Universiteit Amsterdam: (32%);NA;
Samenwerking;Samenwerking;TRUE;numeric;0;0;42;NA;FALSE;16: (37.78%) | 15: (23.14%) | 37: (10.55%) | 41: ( 8.40%) | 40: ( 6.67%) | 38: ( 5.71%) | 0: ( 3.44%) | 39: ( 1.94%) | 34: ( 1.61%) | 35: ( 0.65%) | Other: ( 0.11%);Q1 = 15  | median = 16  | Q3 =  37  | mean = 23.3  | stdev = 11.8;
CrohoActueel;CrohoActueel;TRUE;numeric;0;55002;75128;[0-9]{4};FALSE;55002: (37.8%) | 56560: (13.7%) | 55013: (10.5%) | 55012: ( 8.4%) | 66588: ( 8.2%) | 65016: ( 6.7%) | 65012: ( 5.7%) | 65015: ( 3.6%) | 65014: ( 1.9%) | 65006: ( 1.6%) | Other: ( 1.9%);Q1 = 55002  | median = 55013  | Q3 =  65012  | mean = 58440  | stdev = 4993;
CrohoNaamActueel;CrohoNaamActueel;TRUE;subset;0;NA;NA;NA;FALSE;B Liberal Arts and Sciences (joint degree): (37.8%) | B Tandheelkunde: (13.7%) | B Natuur- en Sterrenkunde (joint degree): (10.5%) | B Scheikunde (joint degree): ( 8.4%) | M Tandheelkunde: ( 8.2%) | M Physics and Astronomy (joint degree): ( 6.7%) | M Chemistry (joint degree): ( 5.7%) | M Computational Science (joint degree): ( 3.6%) | M Computer Science (joint degree): ( 1.9%) | M Entrepreneurship (joint degree): ( 1.6%) | Other: ( 1.9%);NA;
Croho;Croho;TRUE;numeric;0;55002;75128;[0-9]{4};FALSE;55002: (37.8%) | 56560: (13.7%) | 55013: (10.5%) | 55012: ( 8.4%) | 66588: ( 8.2%) | 65016: ( 6.7%) | 65012: ( 5.7%) | 65015: ( 3.6%) | 65014: ( 1.9%) | 65006: ( 1.6%) | Other: ( 1.9%);Q1 = 55002  | median = 55013  | Q3 =  65012  | mean = 58440  | stdev = 4993;
CrohoNaam;CrohoNaam;TRUE;subset;0;NA;NA;NA;FALSE;B Liberal Arts and Sciences (joint degree): (37.8%) | B Tandheelkunde: (13.7%) | B Natuur- en Sterrenkunde (joint degree): (10.5%) | B Scheikunde (joint degree): ( 8.4%) | M Tandheelkunde: ( 8.2%) | M Physics and Astronomy (joint degree): ( 6.7%) | M Chemistry (joint degree): ( 5.7%) | M Computational Science (joint degree): ( 3.6%) | M Computer Science (joint degree): ( 1.9%) | M Entrepreneurship (joint degree): ( 1.6%) | Other: ( 1.9%);NA;
Locatie;Locatie;TRUE;subset;0;NA;NA;NA;FALSE;Amsterdam: (100%);NA;
Afstandsonderwijs;Afstandsonderwijs;TRUE;numeric;0;0;0;NA;FALSE;0: (100%);Q1 = 0  | median = 0  | Q3 =  0  | mean = 0  | stdev = 0;
CrohoSector;CrohoSector;TRUE;numeric;0;3;10;NA;FALSE;10: (37.78%) | 3: (36.81%) | 5: (23.14%) | 6: ( 1.61%) | 8: ( 0.65%);Q1 = 3  | median = 5  | Q3 =  10  | mean = 6.19  | stdev = 3.1;
CrohoSectorNaam;CrohoSectorNaam;TRUE;subset;0;NA;NA;NA;FALSE;Sectoroverstijgend: (37.78%) | Natuur: (36.81%) | Gezondheidszorg: (23.14%) | Economie: ( 1.61%) | Gedrag & Maatschappij: ( 0.65%);NA;
SoortHo;SoortHo;TRUE;numeric;0;2;2;NA;FALSE;2: (100%);Q1 = 2  | median = 2  | Q3 =  2  | mean = 2  | stdev = 0;
