Veldnaam;Veldnaam_export;In_gebruik;Veldtype;p_na;lower;upper;pattern;Uniek;Percentages;Distribution;Opmerkingen
OPL_Instellingscode;Brinnummer;TRUE;character;0;NA;NA;NA;FALSE;29PZ: (11.0%) | 24KD: ( 6.9%) | 26PA: ( 5.3%) | 21PK: ( 3.4%) | 27PZ: ( 2.9%) | 25DW: ( 2.8%) | 21PC: ( 2.7%) | 30GB: ( 2.5%) | 21PB: ( 2.4%) | 21PL: ( 2.3%) | Overig: (57.8%);NA;NA
BRIN_volgnummer;Brinvolgnummer;TRUE;numeric;0;0;39;NA;FALSE;0: (48.1%) | 1: ( 8.3%) | 2: ( 6.0%) | 3: ( 4.2%) | 4: ( 3.5%) | 7: ( 3.2%) | 5: ( 3.0%) | 6: ( 2.9%) | 13: ( 2.7%) | 8: ( 2.6%) | Overig: (15.5%);Q1 = 0  | median = 1  | Q3 =  6  | mean = 3.92  | stdev = 6.1;NA
OPL_Onderwijsinstelling;Naam onderwijsinstelling;TRUE;character;0;NA;NA;NA;FALSE;Hogeschool NCOI: (11.5%) | Markus Verbeek Opleidingen Stichting Hoger Onderwijs: ( 4.5%) | Universiteit van Amsterdam: ( 3.4%) | Fontys Bedrijfshogeschool: ( 3.2%) | Hogeschool INHOLLAND: ( 2.9%) | Rijksuniversiteit Groningen: ( 2.7%) | Fontys Hogescholen: ( 2.5%) | Hogeschool Markus Verbeek Praehep: ( 2.3%) | Vrije Universiteit Amsterdam: ( 2.3%) | Hogeschool Utrecht: ( 2.3%) | Overig: (62.4%);NA;NA
Gemeentenaam;Gemeentenaam;TRUE;character;0;NA;NA;NA;FALSE;AMSTERDAM: (12.0%) | UTRECHT: ( 7.3%) | ROTTERDAM: ( 7.0%) | GRONINGEN: ( 6.2%) | EINDHOVEN: ( 4.7%) | NIJMEGEN: ( 4.6%) | TILBURG: ( 4.5%) | ZWOLLE: ( 4.1%) | ENSCHEDE: ( 3.7%) | 'S-GRAVENHAGE: ( 3.7%) | Overig: (42.2%);NA;NA
OPL_Onderdeel_CROHO;Onderdeel;TRUE;subset;0;NA;NA;[A-Z]{2};FALSE;ONDERWIJS: (38.72%) | TECHNIEK: (20.52%) | GEDRAG EN MAATSCHAPPIJ: (10.00%) | TAAL EN CULTUUR: ( 9.62%) | GEZONDHEIDSZORG: ( 8.33%) | NATUUR: ( 6.57%) | RECHT: ( 2.11%) | LANDBOUW EN NATUURLIJKE OMGEVING: ( 1.96%) | SECTOROVERSTIJGEND: ( 1.93%) | Overig: ( 0.24%);NA;NA
Subonderdeel;Subonderdeel;TRUE;subset;95,40694485;NA;NA;[A-Z]{2};FALSE;OPLEIDINGEN OP HET GEBIED VAN DE KUNST: (1.675%) | UNIVERSITAIRE LERARENOPLEIDINGEN: (1.274%) | LERARENOPLEIDINGEN OP HET GEBIED VAN DE KUNST: (1.009%) | OPLEIDINGEN TOT LERAAR VOORTGEZET ONDERWIJS V.D. 1E GR. IN ALG. VAKKEN: (0.813%) | LERARENOPLEIDINGEN SPECIAAL ONDERWIJS: (0.398%) | ONDERWIJS/LANDBOUW EN NATUURLIJKE OMGEVING/NATUUR/TECHNIEK/GEZONDHEID: (0.160%) | VOORTGEZETTE KUNSTOPLEIDINGEN: (0.132%) | HOGERE KADEROPLEIDING PEDAGOGIEK: (0.056%) | VOORTGEZETTE OPLEIDINGEN BOUWKUNST: (0.055%) | Overig: (94.428%);NA;NA
INS_Opleidingscode_actueel;Opleidingscode;TRUE;numeric;0;1020;81034;NA;FALSE;34808: (1.45%) | 34426: (1.16%) | 34402: (1.15%) | 34406: (1.14%) | 34609: (1.12%) | 34560: (1.07%) | 34401: (1.04%) | 34035: (0.91%) | 34435: (0.83%) | 34405: (0.77%) | Overig: (89.36%);Q1 = 34035  | median = 34617  | Q3 =  56402  | mean = 37158  | stdev = 22450;NA
OPL_Opleidingsnaam_CROHO;Naam opleiding voluit;TRUE;character;0;NA;NA;NA;FALSE;B Opleiding tot leraar Basisonderwijs: (1.45%) | B Opleiding tot Verpleegkundige: (1.19%) | B Commerciële Economie: (1.15%) | B Accountancy: (1.15%) | B Bedrijfseconomie: (1.05%) | B Bedrijfskunde: (0.96%) | B Sociaal Pedagogische Hulpverlening: (0.82%) | B Communicatie: (0.77%) | B Maatschappelijk Werk en Dienstverlening: (0.74%) | Marketing management (2-jarig): (0.73%) | Overig: (89.99%);NA;NA
Internationale_naam;Internationale naam;TRUE;character;67,7736067;NA;NA;NA;FALSE;B Nursing: (1.01%) | B Education in Primary Schools (age 4 - 12): (0.98%) | B Human Resource Management: (0.84%) | B Social Work: (0.48%) | B Business Management Studies: (0.44%) | B Accountancy: (0.40%) | B Social Educational Care: (0.35%) | B Business Administration: (0.34%) | B Finance and Control: (0.34%) | Overig: (94.82%);NA;NA
INS_Opleidingsvorm;Opleidingsvorm;TRUE;subset;0;NA;NA;[A-Z]{2};FALSE;DEELTIJD: (44%) | DUAAL: (39%) | Overig: (17%);NA;NA
