Veldnaam;Veldnaam_export;In_gebruik;Veldtype;p_na;lower;upper;pattern;Uniek;Opmerkingen;
;Bestandspad;FALSE;character;8,654661828;NA;NA;[A-Z]{2};FALSE;;
UAS_Opleiding_Jaar;UAS_Jaar;TRUE;numeric;8,654661828;1812,6;2223,1;NA;FALSE;;
;Extern ID;FALSE;integer;8,654661828;45039211,2;57277730,4;NA;FALSE;;
UAS_Opleiding_Code;Code;TRUE;character;8,654661828;NA;NA;NA;FALSE;;
UAS_Opleiding_Naam_NL;Naam (NL);TRUE;character;8,654661828;NA;NA;NA;FALSE;Naam in Nederlands, altijd ingevuld;
UAS_Opleiding_Naam_EN;Naam (EN);TRUE;character;8,654661828;NA;NA;NA;FALSE;Naam in Engels, altijd ingevuld;
UAS_Opleiding_Fase;Type;TRUE;subset;9,175063957;NA;NA;NA;FALSE;De fase van de opleiding;'Bachelor', 'Master', 'Premaster', 'Exchange', 'Post Graduate', 'Overige niet-regulier', 'PIM'
UAS_Opleiding_Faculteit;Faculteit;TRUE;character;8,654661828;NA;NA;[0-9]{4};FALSE;Faculteit, inclusief code;'(1000) Faculteit der Godgeleerdheid', '(1100) Faculteit der Geesteswetenschappen (Wys)', '(1300) Faculteit der Geesteswetenschappen (Let)', '(1400) Faculteit der Rechtsgeleerdheid', '(1600) ACTA', '(2400) Faculteit der Bewegingswetenschappen', '(2500) Fac. der Gedrags- en Bewegingswetensch.', '(2600) Faculteit der Sociale Wetenschappen', '(2700) Fac. der Economische Wet. en Bedrijfsk.', '(2800) Faculteit der Exacte Wetenschappen', '(2900) Fac. der Aard- en Levenswetenschappen', '(4700) Onderwijscentrum VU', '(5300) Student- & Onderwijszaken', '(9200) VUmc', '(1300) Faculteit der Geesteswetenschappen', '(2700) School of Business and Economics', '(1000) Faculteit Religie en Theologie', '(2900) Faculteit der BÃ¨tawetenschappen', '(9200) Faculteit der Geneeskunde'
;Afdeling;TRUE;character;118,6546618;NA;NA;NA;FALSE;Afdeling, inclusief code (wordt verder weinig gebruikt);
UAS_Opleiding_Gaat_vervallen;Gaat vervallen;TRUE;character;8,654661828;NA;NA;NA;FALSE;Indien bekend wordt hier aangegeven dat opleiding wordt beëindigd;'Nee', 'Ja'
;Curriculum;FALSE;character;18,67240281;NA;NA;NA;FALSE;;Uitvraag beeindigd', 'Nog niet geopend', 'Invoeren curriculum (OLD)', 'Uitgesloten van uitvraag'
;Import datum;FALSE;character;23,16087117;NA;NA;NA;FALSE;;
;Opleidingsdirecteur (changes);FALSE;character;8,654661828;NA;NA;NA;FALSE;;
;Opleidingscoordinator (changes);FALSE;character;8,654661828;NA;NA;NA;FALSE;;
;Opleidingscommissie (changes);FALSE;character;8,654661828;NA;NA;NA;FALSE;;
;Leerdoelen;FALSE;character;118,6546618;NA;NA;NA;FALSE;Helaas leeg;
;ISAT;FALSE;character;118,6546618;NA;NA;NA;FALSE;Helaas leeg;
;sector;FALSE;character;118,6546618;NA;NA;NA;FALSE;Helaas leeg;
;Advies door;FALSE;character;96,86282268;NA;NA;NA;FALSE;Vaak leeg;
;Datum advies;FALSE;character;96,86282268;NA;NA;NA;FALSE;Vaak leeg;
;Akkoord;FALSE;character;96,86282268;NA;NA;NA;FALSE;Vaak leeg;'Ja', 'Nee'
;Advies;FALSE;character;100,5056376;NA;NA;NA;FALSE;;
